t,x_r,y_r,z_r,v_x_r,v_y_r,v_z_r,psi_r
7110,0,0,-4.5,0.5,0,0,0
7158,0,0,-4.5,0.5,0,0,0
7180,0,0,-4.5,0.5,0,0,0
7196,0,0,-4.5,0.5,0,0,0
7229,0,0,-4.5,0.5,0,0,0
7258,0,0,-4.5,0.5,0,0,0
7290,0,0,-4.5,0.5,0,0,0
7306,0,0,-4.5,0.5,0,0,0
7340,0,0,-4.5,0.5,0,0,0
7360,0,0,-4.5,0.5,0,0,0
7391,0,0,-4.5,0.5,0,0,0
7419,0,0,-4.5,0.5,0,0,0
7444,0,0,-4.5,0.5,0,0,0
7476,0,0,-4.5,0.5,0,0,0
7499,0,0,-4.5,0.5,0,0,0
7540,0,0,-4.5,0.5,0,0,0
7564,0,0,-4.5,0.5,0,0,0
7597,0,0,-4.5,0.5,0,0,0
7614,0,0,-4.5,0.5,0,0,0
7647,0,0,-4.5,0.5,0,0,0
7666,0,0,-4.5,0.5,0,0,0
7685,0,0,-4.5,0.5,0,0,0
7708,0,0,-4.5,0.5,0,0,0
7732,0,0,-4.5,0.5,0,0,0
7752,0,0,-4.5,0.5,0,0,0
7776,0,0,-4.5,0.5,0,0,0
7796,0,0,-4.5,0.5,0,0,0
7827,0,0,-4.5,0.5,0,0,0
7844,0,0,-4.5,0.5,0,0,0
7864,0,0,-4.5,0.5,0,0,0
7890,0,0,-4.5,0.5,0,0,0
7913,0,0,-4.5,0.5,0,0,0
7936,0,0,-4.5,0.5,0,0,0
7959,0,0,-4.5,0.5,0,0,0
7972,0,0,-4.5,0.5,0,0,0
7999,0,0,-4.5,0.5,0,0,0
8022,0,0,-4.5,0.5,0,0,0
8044,0,0,-4.5,0.5,0,0,0
8076,0,0,-4.5,0.5,0,0,0
8093,0,0,-4.5,0.5,0,0,0
8134,0,0,-4.5,0.5,0,0,0
8155,0,0,-4.5,0.5,0,0,0
8171,0,0,-4.5,0.5,0,0,0
8197,0,0,-4.5,0.5,0,0,0
8216,0,0,-4.5,0.5,0,0,0
8240,0,0,-4.5,0.5,0,0,0
8259,0,0,-4.5,0.5,0,0,0
8278,0,0,-4.5,0.5,0,0,0
8303,0,0,-4.5,0.5,0,0,0
8326,0,0,-4.5,0.5,0,0,0
8340,0,0,-4.5,0.5,0,0,0
8366,0,0,-4.5,0.5,0,0,0
8385,0,0,-4.5,0.5,0,0,0
8402,0,0,-4.5,0.5,0,0,0
8438,0,0,-4.5,0.5,0,0,0
8463,0,0,-4.5,0.5,0,0,0
8501,0,0,-4.5,0.5,0,0,0
8523,0,0,-4.5,0.5,0,0,0
8554,0,0,-4.5,0.5,0,0,0
8571,0,0,-4.5,0.5,0,0,0
8604,0,0,-4.5,0.5,0,0,0
8634,0,0,-4.5,0.5,0,0,0
8670,0,0,-4.5,0.5,0,0,0
8714,0,0,-4.5,0.5,0,0,0
8768,0,0,-4.5,0.5,0,0,0
8821,0,0,-4.5,0.5,0,0,0
8865,0,0,-4.5,0.5,0,0,0
8932,0,0,-4.5,0.5,0,0,0
8993,0,0,-4.5,0.5,0,0,0
9019,0,0,-4.5,0.5,0,0,0
9033,0,0,-4.5,0.5,0,0,0
9066,0,0,-4.5,0.5,0,0,0
9082,0,0,-4.5,0.5,0,0,0
9100,0,0,-4.5,0.5,0,0,0
9128,0,0,-4.5,0.5,0,0,0
9143,0,0,-4.5,0.5,0,0,0
9171,0,0,-4.5,0.5,0,0,0
9190,0,0,-4.5,0.5,0,0,0
9203,0,0,-4.5,0.5,0,0,0
9231,0,0,-4.5,0.5,0,0,0
9243,0,0,-4.5,0.5,0,0,0
9275,0,0,-4.5,0.5,0,0,0
9297,0,0,-4.5,0.5,0,0,0
9317,0,0,-4.5,0.5,0,0,0
9343,0,0,-4.5,0.5,0,0,0
9364,0,0,-4.5,0.5,0,0,0
9390,0,0,-4.5,0.5,0,0,0
9413,0,0,-4.5,0.5,0,0,0
9433,0,0,-4.5,0.5,0,0,0
9457,0,0,-4.5,0.5,0,0,0
9485,0,0,-4.5,0.5,0,0,0
9501,0,0,-4.5,0.5,0,0,0
9532,0,0,-4.5,0.5,0,0,0
9547,0,0,-4.5,0.5,0,0,0
9569,0,0,-4.5,0.5,0,0,0
9601,0,0,-4.5,0.5,0,0,0
9619,0,0,-4.5,0.5,0,0,0
9656,0,0,-4.5,0.5,0,0,0
9689,0,0,-4.5,0.5,0,0,0
9726,0,0,-4.5,0.5,0,0,0
9767,0,0,-4.5,0.5,0,0,0
9814,0,0,-4.5,0.5,0,0,0
9831,0,0,-4.5,0.5,0,0,0
9856,0,0,-4.5,0.5,0,0,0
9878,0,0,-4.5,0.5,0,0,0
9903,0,0,-4.5,0.5,0,0,0
9926,0,0,-4.5,0.5,0,0,0
9940,0,0,-4.5,0.5,0,0,0
9967,0,0,-4.5,0.5,0,0,0
9986,0,0,-4.5,0.5,0,0,0
10012,0,0,-4.5,0.5,0,0,0
10046,0,0,-4.5,0.5,0,0,0
10062,0,0,-4.5,0.5,0,0,0
10106,0,0,-4.5,0.5,0,0,0
10129,0,0,-4.5,0.5,0,0,0
10164,0,0,-4.5,0.5,0,0,0
10180,0,0,-4.5,0.5,0,0,0
10209,0,0,-4.5,0.5,0,0,0
10231,0,0,-4.5,0.5,0,0,0
10251,0,0,-4.5,0.5,0,0,0
10277,0,0,-4.5,0.5,0,0,0
10292,0,0,-4.5,0.5,0,0,0
10322,0,0,-4.5,0.5,0,0,0
10343,0,0,-4.5,0.5,0,0,0
10362,0,0,-4.5,0.5,0,0,0
10380,0,0,-4.5,0.5,0,0,0
10400,0,0,-4.5,0.5,0,0,0
10427,0,0,-4.5,0.5,0,0,0
10447,0,0,-4.5,0.5,0,0,0
10467,0,0,-4.5,0.5,0,0,0
10486,0,0,-4.5,0.5,0,0,0
10511,0,0,-4.5,0.5,0,0,0
10534,0,0,-4.5,0.5,0,0,0
10553,0,0,-4.5,0.5,0,0,0
10566,0,0,-4.5,0.5,0,0,0
10588,0,0,-4.5,0.5,0,0,0
10617,0,0,-4.5,0.5,0,0,0
10630,0,0,-4.5,0.5,0,0,0
10646,0,0,-4.5,0.5,0,0,0
10671,0,0,-4.5,0.5,0,0,0
10688,0,0,-4.5,0.5,0,0,0
10715,0,0,-4.5,0.5,0,0,0
10730,0,0,-4.5,0.5,0,0,0
10749,0,0,-4.5,0.5,0,0,0
10770,0,0,-4.5,0.5,0,0,0
10789,0,0,-4.5,0.5,0,0,0
10817,0,0,-4.5,0.5,0,0,0
10836,0,0,-4.5,0.5,0,0,0
10856,0,0,-4.5,0.5,0,0,0
10878,0,0,-4.5,0.5,0,0,0
10894,0,0,-4.5,0.5,0,0,0
10921,0,0,-4.5,0.5,0,0,0
10942,0,0,-4.5,0.5,0,0,0
10957,0,0,-4.5,0.5,0,0,0
10988,0,0,-4.5,0.5,0,0,0
11002,0,0,-4.5,0.5,0,0,0
11027,0,0,-4.5,0.5,0,0,0
11053,0,0,-4.5,0.5,0,0,0
11067,0,0,-4.5,0.5,0,0,0
11107,0,0,-4.5,0.5,0,0,0
11124,0,0,-4.5,0.5,0,0,0
11156,0,0,-4.5,0.5,0,0,0
11177,0,0,-4.5,0.5,0,0,0
11201,0,0,-4.5,0.5,0,0,0
11230,0,0,-4.5,0.5,0,0,0
11245,0,0,-4.5,0.5,0,0,0
11282,0,0,-4.5,0.5,0,0,0
11298,0,0,-4.5,0.5,0,0,0
11320,0,0,-4.5,0.5,0,0,0
11347,0,0,-4.5,0.5,0,0,0
11366,0,0,-4.5,0.5,0,0,0
11395,0,0,-4.5,0.5,0,0,0
11414,0,0,-4.5,0.5,0,0,0
11430,0,0,-4.5,0.5,0,0,0
11456,0,0,-4.5,0.5,0,0,0
11478,0,0,-4.5,0.5,0,0,0
11503,0,0,-4.5,0.5,0,0,0
11526,0,0,-4.5,0.5,0,0,0
11546,0,0,-4.5,0.5,0,0,0
11575,0,0,-4.5,0.5,0,0,0
11609,0,0,-4.5,0.5,0,0,0
11639,0,0,-4.5,0.5,0,0,0
11656,0,0,-4.5,0.5,0,0,0
11683,0,0,-4.5,0.5,0,0,0
11699,0,0,-4.5,0.5,0,0,0
11723,0,0,-4.5,0.5,0,0,0
11749,0,0,-4.5,0.5,0,0,0
11764,0,0,-4.5,0.5,0,0,0
11790,0,0,-4.5,0.5,0,0,0
11810,0,0,-4.5,0.5,0,0,0
11828,0,0,-4.5,0.5,0,0,0
11855,0,0,-4.5,0.5,0,0,0
11872,0,0,-4.5,0.5,0,0,0
11903,0,0,-4.5,0.5,0,0,0
11919,0,0,-4.5,0.5,0,0,0
11945,0,0,-4.5,0.5,0,0,0
11964,0,0,-4.5,0.5,0,0,0
11978,0,0,-4.5,0.5,0,0,0
12002,0,0,-4.5,0.5,0,0,0
12027,0,0,-4.5,0.5,0,0,0
12048,0,0,-4.5,0.5,0,0,0
12076,0,0,-4.5,0.5,0,0,0
12094,0,0,-4.5,0.5,0,0,0
12122,0,0,-4.5,0.5,0,0,0
12143,0,0,-4.5,0.5,0,0,0
12163,0,0,-4.5,0.5,0,0,0
12201,0,0,-4.5,0.5,0,0,0
12216,0,0,-4.5,0.5,0,0,0
12254,0,0,-4.5,0.5,0,0,0
12279,0,0,-4.5,0.5,0,0,0
