Timestamp,Ax,Ay,Az,P,Q,R,Phi,Theta,Psi,PosX,PosY,PosZ
3997,5.80157,12.5083,-0.476683,0.0555031,-0.0654799,0.0381848,-0.0274221,-0.202321,0.00835006,-12.4152,-0.155073,-7.5286
4090,1.55705,19.6716,4.86923,0.0256207,-0.0474961,0.0545661,-0.0147978,-0.207847,0.00684754,0,0,0
4199,-3.05368,-19.3408,4.66781,-0.0628659,-0.0405752,-0.0362896,-0.00192286,-0.207895,0.00274041,-12.5241,-0.143631,-7.57021
4297,5.23881,-19.0332,-2.59194,0.0818292,7.71949e-05,0.0360021,0.0085031,-0.186912,-0.00235457,-12.7337,-0.130195,-7.32796
4447,14.608,-2.50313,-1.89214,-0.0291397,0.0178533,-0.00025288,-0.0197612,-0.180623,0.00959801,0,0,0
4555,3.5371,-11.3511,-18.695,0.0105917,0.0653149,-0.0435991,0.00659355,-0.153746,0.00700661,-12.752,-0.150903,-6.90873
4657,-3.50902,16.9884,-5.81688,-0.0362576,-0.00422975,-0.0171559,-0.00199972,-0.162945,0.0104287,0,0,0
4759,-1.80853,14.492,-24.4096,-0.0846988,-0.0501048,0.055567,-0.0134552,-0.147968,0.0124751,-12.8882,-0.149763,-6.80113
4861,-13.6473,15.9948,-24.5749,-0.082122,-0.0555723,0.0554871,-0.0265168,-0.137872,0.012965,0,0,0
4958,3.79223,-9.10489,-24.5629,-0.0526922,0.0175339,-0.00220671,-0.0183512,-0.118363,0.0147826,0,0,0
5055,-8.3932,-11.229,7.07492,0.0418103,0.0535546,0.0262436,-0.00136286,-0.125482,0.0126119,0,0,0
5164,-2.46678,-18.3142,-9.63052,-0.0402505,-3.9009,-0.0445095,0.013889,-0.323394,0.00666401,-11.8933,-0.1446,-8.90415
5266,-16.7177,-9.48943,-24.4267,-0.0492743,0.473099,-0.056126,0.0211521,-0.39585,0.00470754,-11.2653,-0.138276,-9.63764
5357,-3.94284,11.7978,-19.0708,0.0697868,2.12679,0.0396968,0.00733268,-0.177809,0.00921353,0,0,0
5461,-16.2649,-15.7311,-1.59083,0.0599751,0.802405,0.0556735,0.0354368,-0.0686764,0.00904228,-12.5839,-0.24699,-2.30271
5562,-16.1519,-3.53587,-28.8161,0.032696,-0.615713,-0.0577391,0.0436886,-0.095148,0.00957446,-12.9859,-0.165221,-5.26052
5692,4.71065,12.3362,-29.6679,-0.0688605,-0.287245,-0.0389249,0.0321004,-0.148422,0.00921091,-12.5212,-0.127429,-7.13851
5833,4.35033,-14.2869,-18.6083,0.0566903,0.158716,0.086248,0.000809927,-0.161823,0.0119672,-12.426,-0.149453,-6.59718
5951,-16.9723,10.123,4.05328,0.0240395,0.0602737,-0.00435752,0.0279358,-0.154633,0.00759312,0,0,0
6053,-10.2973,17.4682,-18.7206,-0.0349693,0.0231868,0.0557587,0.0205793,-0.163731,0.00975595,0,0,0
6142,16.3509,-3.53343,0.402556,-0.0544863,-0.104069,-0.013408,0.0147685,-0.147263,0.00997112,0,0,0
6258,-12.0563,-12.0908,-22.0911,-0.0524153,0.0675958,0.0163094,0.0265698,-0.13733,0.00696018,0,0,0
6355,15.2582,-4.79568,-12.4731,0.0304654,-0.0290355,-0.00299463,0.0483941,-0.0899816,0.00493996,0,0,0
6451,-12.3715,-1.93182,0.669136,-0.0116298,0.0382197,0.0531287,0.0496363,-0.10053,0.0108551,0,0,0
6549,-3.79517,-14.6519,-19.7331,0.0559343,0.00372945,-0.0403463,0.0550054,-0.118975,0.00958234,0,0,0
6644,-1.2892,-1.94769,6.95577,0.00852072,-0.0261381,0.0670504,0.0534478,-0.109547,0.0103634,0,0,0
6745,-2.56259,3.43699,-14.6373,0.0230334,0.00734303,-0.00303722,0.0704515,-0.0915701,0.00772847,-12.1421,-0.123536,-5.64407
6850,14.0245,12.2654,-21.0675,0.0739341,-0.0308429,-0.0622377,0.0733994,-0.0897451,0.00313057,0,0,0
6960,-4.26382,0.244758,-16.3855,-0.029933,0.023809,-0.0434767,0.0674087,-0.0850442,-0.002377,0,0,0
7094,-14.2998,-10.1047,-25.3346,-0.0694248,0.0328764,0.0569459,0.0661226,-0.108267,0.00205857,0,0,0
7221,2.28125,-13.0113,-24.8276,0.0448502,-0.0150151,-0.0384777,0.0814027,-0.0639834,-0.00615361,0,0,0
7322,-10.7991,-9.56755,-4.80367,0.0446639,0.0141619,-0.039947,0.0747108,-0.0759305,-0.000945381,0,0,0
7419,-0.441224,-18.7683,-2.92611,0.00932993,-0.0258998,0.0126626,0.0908371,-0.0679602,-0.000747305,0,0,0
7538,6.58279,9.5407,5.73266,0.0447597,0.0120149,-0.0410064,0.079945,-0.0558174,-0.00149276,-11.9377,-0.110414,-5.21089
7629,-1.93077,5.69292,-27.8511,0.0271699,0.0421371,-0.0697815,0.0955217,-0.0565717,-0.00313937,0,0,0
7723,8.42345,13.1993,5.64484,-0.0761062,-0.0182281,0.0180769,0.0943693,-0.0275447,-0.0020051,0,0,0
7815,-11.2489,-9.5468,-4.12717,0.068573,0.066154,-0.00884014,0.117241,-0.0413426,-0.0038774,0,0,0
