t,x,z,z,v_x,v_y,v_z,phi,theta,psi,p,q,r,phi_r,theta_r,psi_r,force_0,force_1,force_2
2671,0,0,-3.94834,0,0,-0.771324,0,0,0,0,0,0,0,-0,0,0,0,-8.72505
2693,0,0,-3.96531,0,0,-0.748341,0,0,0,0,0,0,0,-0,0,0,0,-8.75535
2711,0,0,-3.97878,0,0,-0.730069,0,0,0,0,0,0,0,-0,0,0,0,-8.78488
2725,0,0,-3.989,0,0,-0.716187,0,0,0,0,0,0,0,-0,0,0,0,-8.80842
2752,0,0,-4.00834,0,0,-0.689899,0,0,0,0,0,0,0,-0,0,0,0,-8.82635
2773,0,0,-4.02213,0,0,-0.671106,0,0,0,0,0,0,0,-0,0,0,0,-8.86035
2796,0,0,-4.0369,0,0,-0.65097,0,0,0,0,0,0,0,-0,0,0,0,-8.88473
2821,0,0,-4.05252,0,0,-0.629631,0,0,0,0,0,0,0,-0,0,0,0,-8.91091
2845,0,0,-4.06763,0,0,-0.608961,0,0,0,0,0,0,0,-0,0,0,0,-8.93873
2865,0,0,-4.07981,0,0,-0.592276,0,0,0,0,0,0,0,-0,0,0,0,-8.96574
2889,0,0,-4.09403,0,0,-0.572778,0,0,0,0,0,0,0,-0,0,0,0,-8.9876
2911,0,0,-4.10605,0,0,-0.556255,0,0,0,0,0,0,0,-0,0,0,0,-9.0132
2930,0,0,-4.11607,0,0,-0.542484,0,0,0,0,0,0,0,-0,0,0,0,-9.03494
2954,0,0,-4.12909,0,0,-0.524559,0,0,0,0,0,0,0,-0,0,0,0,-9.0531
2983,0,0,-4.1443,0,0,-0.503586,0,0,0,0,0,0,0,-0,0,0,0,-9.07679
2998,0,0,-4.15185,0,0,-0.493154,0,0,0,0,0,0,0,-0,0,0,0,-9.10456
3035,0,0,-4.1701,0,0,-0.467935,0,0,0,0,0,0,0,-0,0,0,0,-9.1184
3056,0,0,-4.17993,0,0,-0.454325,0,0,0,0,0,0,0,-0,0,0,0,-9.15193
3078,0,0,-4.18992,0,0,-0.440467,0,0,0,0,0,0,0,-0,0,0,0,-9.17008
3096,0,0,-4.19785,0,0,-0.429462,0,0,0,0,0,0,0,-0,0,0,0,-9.1886
3118,0,0,-4.20687,0,0,-0.416932,0,0,0,0,0,0,0,-0,0,0,0,-9.20334
3137,0,0,-4.21479,0,0,-0.405915,0,0,0,0,0,0,0,-0,0,0,0,-9.22013
3157,0,0,-4.22291,0,0,-0.394613,0,0,0,0,0,0,0,-0,0,0,0,-9.23493
3175,0,0,-4.23001,0,0,-0.384716,0,0,0,0,0,0,0,-0,0,0,0,-9.25013
3194,0,0,-4.23732,0,0,-0.374521,0,0,0,0,0,0,0,-0,0,0,0,-9.26346
3227,0,0,-4.24968,0,0,-0.35727,0,0,0,0,0,0,0,-0,0,0,0,-9.27722
3247,0,0,-4.25682,0,0,-0.34728,0,0,0,0,0,0,0,-0,0,0,0,-9.30052
3265,0,0,-4.26273,0,0,-0.339019,0,0,0,0,0,0,0,-0,0,0,0,-9.31405
3284,0,0,-4.26917,0,0,-0.329998,0,0,0,0,0,0,0,-0,0,0,0,-9.32525
3314,0,0,-4.27907,0,0,-0.316123,0,0,0,0,0,0,0,-0,0,0,0,-9.3375
3330,0,0,-4.28413,0,0,-0.309025,0,0,0,0,0,0,0,-0,0,0,0,-9.35636
3355,0,0,-4.29185,0,0,-0.298176,0,0,0,0,0,0,0,-0,0,0,0,-9.36603
3388,0,0,-4.30139,0,0,-0.284762,0,0,0,0,0,0,0,-0,0,0,0,-9.38082
3402,0,0,-4.30538,0,0,-0.27915,0,0,0,0,0,0,0,-0,0,0,0,-9.39915
3427,0,0,-4.31208,0,0,-0.269714,0,0,0,0,0,0,0,-0,0,0,0,-9.40683
3453,0,0,-4.31909,0,0,-0.259828,0,0,0,0,0,0,0,-0,0,0,0,-9.41976
3469,0,0,-4.32299,0,0,-0.254328,0,0,0,0,0,0,0,-0,0,0,0,-9.43332
3496,0,0,-4.32986,0,0,-0.244631,0,0,0,0,0,0,0,-0,0,0,0,-9.44088
3522,0,0,-4.33622,0,0,-0.235641,0,0,0,0,0,0,0,-0,0,0,0,-9.45422
3539,0,0,-4.34022,0,0,-0.229973,0,0,0,0,0,0,0,-0,0,0,0,-9.4666
3557,0,0,-4.34436,0,0,-0.224113,0,0,0,0,0,0,0,-0,0,0,0,-9.47442
3580,0,0,-4.34929,0,0,-0.217128,0,0,0,0,0,0,0,-0,0,0,0,-9.48251
3602,0,0,-4.35385,0,0,-0.210664,0,0,0,0,0,0,0,-0,0,0,0,-9.49217
3618,0,0,-4.35722,0,0,-0.205882,0,0,0,0,0,0,0,-0,0,0,0,-9.50112
3636,0,0,-4.36093,0,0,-0.200621,0,0,0,0,0,0,0,-0,0,0,0,-9.50774
3657,0,0,-4.36514,0,0,-0.194637,0,0,0,0,0,0,0,-0,0,0,0,-9.51504
3671,0,0,-4.36767,0,0,-0.19104,0,0,0,0,0,0,0,-0,0,0,0,-9.52334
3686,0,0,-4.37054,0,0,-0.186965,0,0,0,0,0,0,0,-0,0,0,0,-9.52834
3724,0,0,-4.37746,0,0,-0.177123,0,0,0,0,0,0,0,-0,0,0,0,-9.534
3754,0,0,-4.38277,0,0,-0.169554,0,0,0,0,0,0,0,-0,0,0,0,-9.5477
3774,0,0,-4.38616,0,0,-0.164719,0,0,0,0,0,0,0,-0,0,0,0,-9.55825
3789,0,0,-4.38863,0,0,-0.161194,0,0,0,0,0,0,0,-0,0,0,0,-9.565
3807,0,0,-4.39137,0,0,-0.157283,0,0,0,0,0,0,0,-0,0,0,0,-9.56992
3828,0,0,-4.39468,0,0,-0.152566,0,0,0,0,0,0,0,-0,0,0,0,-9.57539
3851,0,0,-4.39803,0,0,-0.14777,0,0,0,0,0,0,0,-0,0,0,0,-9.58199
3866,0,0,-4.40025,0,0,-0.1446,0,0,0,0,0,0,0,-0,0,0,0,-9.58871
3889,0,0,-4.40343,0,0,-0.14005,0,0,0,0,0,0,0,-0,0,0,0,-9.59315
3914,0,0,-4.40693,0,0,-0.135038,0,0,0,0,0,0,0,-0,0,0,0,-9.59954
3930,0,0,-4.40909,0,0,-0.131943,0,0,0,0,0,0,0,-0,0,0,0,-9.60657
3958,0,0,-4.41279,0,0,-0.126649,0,0,0,0,0,0,0,-0,0,0,0,-9.61092
3982,0,0,-4.4157,0,0,-0.122472,0,0,0,0,0,0,0,-0,0,0,0,-9.61837
3999,0,0,-4.41778,0,0,-0.119484,0,0,0,0,0,0,0,-0,0,0,0,-9.62425
4019,0,0,-4.42005,0,0,-0.116225,0,0,0,0,0,0,0,-0,0,0,0,-9.62846
4047,0,0,-4.42331,0,0,-0.11155,0,0,0,0,0,0,0,-0,0,0,0,-9.63306
4064,0,0,-4.4252,0,0,-0.108824,0,0,0,0,0,0,0,-0,0,0,0,-9.63966
4104,0,0,-4.42956,0,0,-0.102565,0,0,0,0,0,0,0,-0,0,0,0,-9.64351
4131,0,0,-4.43232,0,0,-0.0985784,0,0,0,0,0,0,0,-0,0,0,0,-9.65236
4154,0,0,-4.43459,0,0,-0.0953124,0,0,0,0,0,0,0,-0,0,0,0,-9.658
4173,0,0,-4.4364,0,0,-0.0927024,0,0,0,0,0,0,0,-0,0,0,0,-9.66263
4189,0,0,-4.43779,0,0,-0.0906973,0,0,0,0,0,0,0,-0,0,0,0,-9.66633
4211,0,0,-4.43979,0,0,-0.0878193,0,0,0,0,0,0,0,-0,0,0,0,-9.66918
4226,0,0,-4.44111,0,0,-0.0859182,0,0,0,0,0,0,0,-0,0,0,0,-9.67326
4259,0,0,-4.44394,0,0,-0.0818251,0,0,0,0,0,0,0,-0,0,0,0,-9.67597
4276,0,0,-4.44533,0,0,-0.0798154,0,0,0,0,0,0,0,-0,0,0,0,-9.68179
4301,0,0,-4.44725,0,0,-0.077047,0,0,0,0,0,0,0,-0,0,0,0,-9.68465
4322,0,0,-4.44887,0,0,-0.0747074,0,0,0,0,0,0,0,-0,0,0,0,-9.68859
4342,0,0,-4.45036,0,0,-0.0725459,0,0,0,0,0,0,0,-0,0,0,0,-9.69193
4365,0,0,-4.45196,0,0,-0.070236,0,0,0,0,0,0,0,-0,0,0,0,-9.69501
4391,0,0,-4.45378,0,0,-0.067592,0,0,0,0,0,0,0,-0,0,0,0,-9.69831
4409,0,0,-4.455,0,0,-0.0658294,0,0,0,0,0,0,0,-0,0,0,0,-9.70208
4430,0,0,-4.45638,0,0,-0.063826,0,0,0,0,0,0,0,-0,0,0,0,-9.7046
4455,0,0,-4.45791,0,0,-0.0616051,0,0,0,0,0,0,0,-0,0,0,0,-9.70746
4474,0,0,-4.45902,0,0,-0.0599967,0,0,0,0,0,0,0,-0,0,0,0,-9.71064
4506,0,0,-4.46094,0,0,-0.0572109,0,0,0,0,0,0,0,-0,0,0,0,-9.71294
4521,0,0,-4.4618,0,0,-0.0559649,0,0,0,0,0,0,0,-0,0,0,0,-9.71694
4609,0,0,-4.46673,0,0,-0.0488123,0,0,0,0,0,0,0,-0,0,0,0,-9.71872
4642,0,0,-4.46834,0,0,-0.0464687,0,0,0,0,0,0,0,-0,0,0,0,-9.72898
4663,0,0,-4.46931,0,0,-0.0450481,0,0,0,0,0,0,0,-0,0,0,0,-9.73235
4680,0,0,-4.47008,0,0,-0.0439328,0,0,0,0,0,0,0,-0,0,0,0,-9.7344
4710,0,0,-4.4714,0,0,-0.0420129,0,0,0,0,0,0,0,-0,0,0,0,-9.736
4731,0,0,-4.47228,0,0,-0.040727,0,0,0,0,0,0,0,-0,0,0,0,-9.73877
4750,0,0,-4.47301,0,0,-0.0396582,0,0,0,0,0,0,0,-0,0,0,0,-9.74062
4777,0,0,-4.47404,0,0,-0.0381545,0,0,0,0,0,0,0,-0,0,0,0,-9.74216
4797,0,0,-4.47477,0,0,-0.0370969,0,0,0,0,0,0,0,-0,0,0,0,-9.74434
4817,0,0,-4.47547,0,0,-0.0360682,0,0,0,0,0,0,0,-0,0,0,0,-9.74586
4848,0,0,-4.47659,0,0,-0.034436,0,0,0,0,0,0,0,-0,0,0,0,-9.74735
4866,0,0,-4.47721,0,0,-0.0335307,0,0,0,0,0,0,0,-0,0,0,0,-9.74971
4889,0,0,-4.47798,0,0,-0.032404,0,0,0,0,0,0,0,-0,0,0,0,-9.75101
4911,0,0,-4.47869,0,0,-0.0313622,0,0,0,0,0,0,0,-0,0,0,0,-9.75265
4933,0,0,-4.47938,0,0,-0.0303536,0,0,0,0,0,0,0,-0,0,0,0,-9.75415
4949,0,0,-4.47987,0,0,-0.0296434,0,0,0,0,0,0,0,-0,0,0,0,-9.75561
4982,0,0,-4.48085,0,0,-0.0282126,0,0,0,0,0,0,0,-0,0,0,0,-9.75664
4996,0,0,-4.48124,0,0,-0.0276346,0,0,0,0,0,0,0,-0,0,0,0,-9.75871
5025,0,0,-4.48204,0,0,-0.0264617,0,0,0,0,0,0,0,-0,0,0,0,-9.75955
5043,0,0,-4.48252,0,0,-0.0257643,0,0,0,0,0,0,0,-0,0,0,0,-9.76125
5064,0,0,-4.48306,0,0,-0.0249718,0,0,0,0,0,0,0,-0,0,0,0,-9.76227
5085,0,0,-4.48359,0,0,-0.0242036,0,0,0,0,0,0,0,-0,0,0,0,-9.76342
5114,0,0,-4.48429,0,0,-0.023175,0,0,0,-1.68824,-1.68824,0,-0.582153,-0.582153,0,0,0,-9.76453
5133,0,0,-4.48473,0,0,-0.0225295,-0.0320766,-0.0320766,0,-1.36393,-1.36323,-0.0437428,-0.133194,-0.133194,0,0.000371605,-0.0003714,-9.76604
5157,0,0,-4.48525,0.00720906,-0.00721277,-0.0215383,-0.0634471,-0.0634471,0,-3.28266,-3.27605,-0.208135,-1.11181,-1.11181,0,0.000714242,-0.000712772,-9.76701
5190,0.00023069,-0.000230809,-4.48593,0.0268962,-0.0269397,-0.0192844,-0.168492,-0.168492,0,-1.97781,-1.94982,-0.331675,-0.246561,-0.246568,0,-0.00174749,0.00167371,-9.76798
5216,0.00092999,-0.000931242,-4.48644,0.068603,-0.0692502,-0.0114726,-0.219915,-0.219916,0,-2.75406,-2.688,-0.600849,-0.823057,-0.823156,0,-0.0110207,0.0104529,-9.76936
5257,0.00374271,-0.0037705,-4.48691,0.152792,-0.155538,0.00763853,-0.332832,-0.332843,0,-1.07934,-1.02425,-0.354076,-0.307179,-0.30823,0,-0.0305448,0.0272919,-9.77925
5274,0.00634018,-0.00641465,-4.48678,0.203266,-0.208993,0.0244137,-0.351181,-0.351267,0,-2.31012,-2.18496,-0.800497,-1.2511,-1.25924,0,-0.0730453,0.0652134,-9.81413
5293,0.0102022,-0.0103855,-4.48631,0.262187,-0.2718,0.0443305,-0.395073,-0.395479,0,-1.43068,-1.34997,-0.562933,-0.304139,-0.315205,0,-0.0984907,0.085713,-9.84695
5316,0.0162325,-0.0166369,-4.48529,0.340742,-0.356966,0.0738319,-0.427979,-0.42912,0,-0.523707,-0.523709,-0.238904,-0.258259,-0.273098,0,-0.12843,0.109371,-9.88636
5339,0.0240696,-0.0248471,-4.48359,0.42446,-0.448945,0.106852,-0.440024,-0.442359,0,-1.21063,-1.16675,-0.549319,-0.820907,-0.843155,0,-0.169774,0.144626,-9.95379
5356,0.0312854,-0.0324792,-4.48178,0.48781,-0.518771,0.131182,-0.460605,-0.464283,0,-0.299169,-0.376602,-0.186871,-0.121785,-0.163204,0,-0.213686,0.180071,-10.0277
5508,0.105432,-0.111332,-4.46184,1.07556,-1.17174,0.363136,-0.506078,-0.528186,0,-9.72348,-8.54213,-4.73423,-1.13448,-1.15482,0,-0.243721,0.194749,-10.0645
5524,0.122641,-0.13008,-4.45603,1.14457,-1.24771,0.384024,-0.661654,-0.684447,0,-3.07248,-2.76755,-2.15525,1.90057,1.62547,0,-0.531452,0.33976,-10.4866
5547,0.147822,-0.15753,-4.44758,1.25362,-1.38381,0.446341,-0.729249,-0.761618,0,-0.778857,-0.877225,-0.783857,-0.172145,-0.25614,0,-0.54668,0.294641,-10.4774
5562,0.165373,-0.176903,-4.44133,1.32622,-1.4795,0.495071,-0.740153,-0.778087,0,-0.343876,-0.622115,-0.568221,-0.558742,-0.734902,0,-0.603096,0.321364,-10.6222
5583,0.193223,-0.207973,-4.43093,1.43704,-1.62628,0.569094,-0.747374,-0.795781,0,1.31691,0.541646,0.501945,-0.0111979,-0.176881,0,-0.640837,0.338317,-10.738
5606,0.224838,-0.243751,-4.41841,1.55627,-1.78357,0.646165,-0.718402,-0.779535,0,2.73843,1.54994,1.35503,0.135814,-0.0627299,0,-0.711062,0.41295,-10.9514
5627,0.255964,-0.279422,-4.40549,1.66755,-1.92348,0.707371,-0.663633,-0.73836,0,4.05752,2.54041,1.98646,0.434062,0.174095,0,-0.792948,0.527079,-11.2096
5652,0.297652,-0.327509,-4.38781,1.8085,-2.0874,0.765752,-0.562195,-0.657739,0,4.7509,3.30182,2.08019,0.344072,0.113156,0,-0.876047,0.691215,-11.4986
5675,0.337439,-0.373432,-4.37096,1.93009,-2.21025,0.789771,-0.457675,-0.571885,0,5.55931,4.2048,2.0711,0.660428,0.401402,0,-0.967585,0.862297,-11.8225
